AvgDailyHours,EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,AnnualIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
6.6,1,High,Very High,Good,High,Good,51,No,Travel_Rarely,Sales,6,College,Life Sciences,Female,Junior,Healthcare Representative,Married,131160,1,11,0,1,6,1,0,0
7,2,High,Medium,Best,Medium,Outstanding,31,Yes,Travel_Frequently,Research & Development,10,Below College,Life Sciences,Female,Junior,Research Scientist,Single,41890,0,23,1,6,3,5,1,4
6.5,3,Medium,Medium,Bad,High,Good,32,No,Travel_Frequently,Research & Development,17,Master,Other,Male,Intermediate,Sales Executive,Married,193280,1,15,3,5,2,5,0,3
6.5,4,Very High,Very High,Better,Medium,Good,38,No,Non-Travel,Research & Development,2,Doctor,Life Sciences,Male,Intermediate,Human Resources,Married,83210,3,11,3,13,5,8,7,5
7.5,5,Very High,Low,Better,High,Good,32,No,Travel_Rarely,Research & Development,10,Below College,Medical,Male,Junior,Sales Executive,Single,23420,4,12,2,9,2,6,0,4
9.8,6,High,Medium,Good,High,Good,46,No,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,Female,Intermediate,Research Director,Married,40710,3,13,0,28,5,7,7,7
6.2,7,Low,High,Bad,High,Outstanding,28,Yes,Travel_Rarely,Research & Development,11,College,Medical,Male,Junior,Sales Executive,Single,58130,2,20,1,5,2,0,0,0
6.3,8,Low,Medium,Better,High,Outstanding,29,No,Travel_Rarely,Research & Development,18,Bachelor,Life Sciences,Male,Junior,Sales Executive,Married,31430,2,22,3,10,2,0,0,0
6.4,9,Medium,Very High,Better,High,Outstanding,31,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,Intermediate,Laboratory Technician,Married,20440,0,21,0,10,2,9,7,8
6.3,10,Medium,Low,Better,High,Good,25,No,Non-Travel,Research & Development,7,Master,Medical,Female,Intermediate,Laboratory Technician,Divorced,134640,1,13,1,6,2,6,1,5
7.8,11,High,Very High,Better,Medium,Good,45,No,Travel_Rarely,Research & Development,17,College,Medical,Male,Junior,Laboratory Technician,Married,79910,0,13,2,21,2,20,4,10
6.5,12,High,Very High,Better,High,Good,36,No,Travel_Rarely,Research & Development,28,Below College,Life Sciences,Male,Junior,Laboratory Technician,Married,33770,0,12,2,16,2,15,10,11
